"Order ID","Product ID","Location ID","Sales Person ID","Customer ID","Purchase Date","Quantity","Price"
"AX10008","ENX2076","A157","EMP1015","C1121","2/27/2019","2","1522"
"AX10013","ENX2087","A160","EMP1020","C1461","4/17/2019","1","1022"
"AX10015","ENX2037","A103","EMP1010","C1510","9/20/2019","2","880"
"AX10016","ENX2097","A130","EMP1023","C1133","5/20/2019","1","1052"
"AX10018","ENX2005","A158","EMP1037","C1240","3/31/2019","1","684"
"AX10020","ENX2036","A127","EMP1013","C1155","1/8/2019","2","1582"
"AX10030","ENX2028","A138","EMP1017","C1495","10/19/2019","1","2283"
"AX10039","ENX2024","A134","EMP1023","C1448","8/6/2019","1","356"
"AX10041","ENX2010","A146","EMP1022","C1562","6/26/2019","1","1812"
"AX10047","ENX2010","A143","EMP1038","C1084","12/6/2019","2","1812"
"AX10051","ENX2029","A167","EMP1003","C1274","6/13/2019","3","1848"
"AX10056","ENX2040","A118","EMP1007","C1160","10/9/2019","4","1889"
"AX10057","ENX2028","A139","EMP1017","C1732","11/6/2019","3","2283"
"AX10058","ENX2016","A107","EMP1027","C1526","5/27/2019","3","1351"
"AX10059","ENX2016","A173","EMP1019","C1767","8/2/2019","1","1351"
"AX10062","ENX2041","A142","EMP1016","C1641","12/13/2019","1","1380"
"AX10067","ENX2018","A107","EMP1027","C1358","10/18/2019","3","1972"
"AX10073","ENX2079","A103","EMP1026","C1402","5/19/2019","3","1725"
"AX10075","ENX2029","A128","EMP1029","C1100","6/9/2019","2","1848"
"AX10076","ENX2092","A122","EMP1031","C1470","4/8/2019","1","1639"
"AX10078","ENX2063","A170","EMP1042","C1222","6/17/2019","3","1708"
"AX10082","ENX2070","A111","EMP1040","C1519","10/9/2019","1","1671"
"AX10084","ENX2084","A147","EMP1005","C1241","5/10/2019","3","1783"
"AX10088","ENX2043","A124","EMP1035","C1579","6/29/2019","1","545"
"AX10091","ENX2051","A115","EMP1017","C1707","2/11/2019","1","1077"
"AX10097","ENX2024","A167","EMP1007","C1396","1/30/2019","4","356"
"AX10099","ENX2006","A158","EMP1032","C1538","11/20/2019","3","1826"
"AX10107","ENX2054","A146","EMP1005","C1052","10/11/2019","1","127"
"AX10110","ENX2066","A107","EMP1013","C1342","11/10/2019","4","2091"
"AX10111","ENX2051","A141","EMP1021","C1233","4/18/2019","3","1077"
"AX10112","ENX2039","A151","EMP1034","C1171","2/15/2019","3","817"
"AX10115","ENX2046","A161","EMP1008","C1364","9/3/2019","1","2410"
"AX10116","ENX2076","A101","EMP1029","C1415","8/7/2019","1","1522"
"AX10119","ENX2001","A167","EMP1010","C1339","1/15/2019","1","951"
"AX10124","ENX2012","A150","EMP1019","C1508","4/5/2019","1","1353"
"AX10126","ENX2054","A138","EMP1030","C1337","5/30/2019","1","127"
"AX10127","ENX2066","A134","EMP1027","C1612","3/21/2019","2","2091"
"AX10135","ENX2015","A118","EMP1041","C1149","12/15/2019","1","637"
"AX10137","ENX2093","A172","EMP1006","C1704","6/6/2019","1","112"
"AX10144","ENX2020","A136","EMP1042","C1770","5/23/2019","3","2005"
"AX10152","ENX2027","A146","EMP1043","C1314","1/21/2019","4","2497"
"AX10156","ENX2068","A169","EMP1006","C1529","5/8/2019","3","1500"
"AX10157","ENX2025","A148","EMP1043","C1243","10/13/2019","2","667"
"AX10159","ENX2003","A137","EMP1036","C1086","12/23/2019","1","1783"
"AX10167","ENX2004","A144","EMP1043","C1286","8/6/2019","1","1278"
"AX10172","ENX2076","A101","EMP1005","C1507","1/27/2019","1","1522"
"AX10176","ENX2008","A124","EMP1032","C1369","10/26/2019","3","315"
"AX10177","ENX2064","A109","EMP1027","C1057","6/30/2019","1","1414"
"AX10182","ENX2062","A161","EMP1026","C1657","6/6/2019","3","2464"
"AX10183","ENX2035","A106","EMP1014","C1444","9/5/2019","2","458"
"AX10184","ENX2015","A114","EMP1025","C1480","12/14/2019","1","637"
"AX10186","ENX2022","A133","EMP1025","C1064","7/1/2019","2","561"
