"Order ID","Product ID","Location ID","Sales Person ID","Customer ID","Purchase Date","Quantity","Price","",""
"AX10004","ENX2029","A142","EMP1019","C1078","3/23/2020","4","1848","",""
"AX10014","ENX2079","A152","EMP1041","C1073","4/14/2020","1","1725","",""
"AX10027","ENX2062","A126","EMP1001","C1256","5/27/2020","1","2464","",""
"AX10032","ENX2083","A156","EMP1025","C1342","4/6/2020","1","2141","",""
"AX10042","ENX2100","A147","EMP1019","C1267","1/4/2020","1","799","",""
"AX10061","ENX2041","A101","EMP1041","C1168","5/25/2020","1","1380","",""
"AX10070","ENX2046","A159","EMP1040","C1147","2/18/2020","1","2410","",""
"AX10071","ENX2091","A121","EMP1016","C1755","2/29/2020","3","368","",""
"AX10074","ENX2038","A121","EMP1042","C1732","4/12/2020","1","392","",""
"AX10086","ENX2054","A130","EMP1023","C1526","3/16/2020","1","127","",""
"AX10096","ENX2005","A133","EMP1037","C1791","3/10/2020","1","684","",""
"AX10098","ENX2098","A119","EMP1022","C1467","5/24/2020","1","1178","",""
"AX10133","ENX2045","A104","EMP1038","C1350","2/15/2020","1","556","",""
"AX10145","ENX2033","A111","EMP1007","C1666","5/29/2020","2","2182","",""
"AX10155","ENX2027","A111","EMP1024","C1176","1/25/2020","1","2497","",""
"AX10162","ENX2030","A158","EMP1015","C1120","4/3/2020","2","1899","",""
"AX10173","ENX2093","A115","EMP1040","C1566","2/15/2020","3","112","",""
"AX10180","ENX2011","A148","EMP1006","C1350","2/11/2020","4","530","",""
"AX10199","ENX2100","A115","EMP1001","C1350","4/14/2020","2","799","",""
"AX10208","ENX2054","A132","EMP1029","C1194","1/16/2020","1","127","",""
"AX10209","ENX2043","A120","EMP1040","C1571","5/6/2020","3","545","",""
"AX10218","ENX2029","A123","EMP1018","C1612","5/21/2020","3","1848","",""
"AX10230","ENX2078","A115","EMP1005","C1455","1/22/2020","1","1798","",""
"AX10232","ENX2081","A143","EMP1035","C1572","4/21/2020","1","1566","",""
"AX10243","ENX2004","A108","EMP1020","C1529","2/3/2020","4","1278","",""
"AX10259","ENX2040","A139","EMP1029","C1528","1/17/2020","1","1889","",""
"AX10268","ENX2043","A125","EMP1025","C1124","5/13/2020","2","545","",""
"AX10295","ENX2076","A111","EMP1003","C1552","5/22/2020","3","1522","",""
"AX10303","ENX2052","A135","EMP1034","C1073","3/23/2020","3","1526","",""
"AX10307","ENX2098","A155","EMP1005","C1203","3/29/2020","2","1178","",""
"AX10308","ENX2081","A145","EMP1029","C1070","2/28/2020","3","1566","",""
"AX10313","ENX2012","A170","EMP1002","C1780","5/15/2020","3","1353","",""
"AX10323","ENX2010","A134","EMP1038","C1407","3/27/2020","3","1812","",""
"AX10324","ENX2027","A108","EMP1002","C1582","1/18/2020","1","2497","",""
"AX10331","ENX2032","A141","EMP1043","C1002","1/31/2020","1","1967","",""
"AX10335","ENX2023","A134","EMP1033","C1370","3/16/2020","1","818","",""
"AX10337","ENX2061","A155","EMP1031","C1347","5/15/2020","4","913","",""
"AX10350","ENX2000","A129","EMP1008","C1648","1/1/2020","1","2241","",""
"AX10355","ENX2040","A151","EMP1010","C1776","2/4/2020","2","1889","",""
"AX10360","ENX2041","A126","EMP1003","C1212","3/30/2020","1","1380","",""
"AX10381","ENX2024","A138","EMP1018","C1791","2/16/2020","3","356","",""
"AX10405","ENX2062","A159","EMP1036","C1460","5/19/2020","3","2464","",""
"AX10411","ENX2100","A164","EMP1010","C1252","2/8/2020","1","799","",""
"AX10439","ENX2056","A157","EMP1001","C1036","3/2/2020","1","1635","",""
"AX10452","ENX2094","A168","EMP1039","C1488","3/9/2020","1","771","",""
"AX10457","ENX2099","A164","EMP1036","C1761","1/2/2020","2","1367","",""
"AX10472","ENX2031","A129","EMP1020","C1221","4/15/2020","1","1638","",""
"AX10476","ENX2041","A132","EMP1022","C1453","2/6/2020","1","1380","",""
"AX10478","ENX2066","A105","EMP1003","C1617","4/17/2020","2","2091","",""
"AX10495","ENX2099","A146","EMP1043","C1000","1/27/2020","3","1367","",""
"AX10512","ENX2099","A129","EMP1037","C1482","4/4/2020","3","1367","",""
"AX10513","ENX2059","A138","EMP1029","C1277","3/9/2020","1","1494","",""
"AX10521","ENX2042","A108","EMP1011","C1442","2/22/2020","1","203","",""
"AX10546","ENX2003","A137","EMP1033","C1029","4/14/2020","2","1783","",""
"AX10569","ENX2074","A161","EMP1021","C1240","1/4/2020","4","504","",""
"AX10649","ENX2030","A120","EMP1023","C1595","4/5/2020","1","1899","",""
"AX10654","ENX2003","A127","EMP1034","C1577","5/15/2020","1","1783","",""
"AX10661","ENX2083","A142","EMP1043","C1267","1/4/2020","2","2141","",""
"AX10670","ENX2072","A140","EMP1006","C1217","2/19/2020","1","1887","",""
"AX10685","ENX2038","A145","EMP1026","C1583","1/11/2020","3","392","",""
"AX10703","ENX2074","A104","EMP1032","C1273","5/1/2020","1","504","",""
"AX10710","ENX2041","A124","EMP1010","C1639","5/16/2020","2","1380","",""
"AX10715","ENX2054","A154","EMP1032","C1542","1/24/2020","1","127","",""
"AX10722","ENX2027","A170","EMP1025","C1035","3/9/2020","3","2497","",""
"AX10726","ENX2036","A102","EMP1019","C1374","2/17/2020","2","1582","",""
"AX10733","ENX2024","A148","EMP1013","C1327","4/8/2020","4","356","",""
"AX10771","ENX2022","A157","EMP1026","C1007","2/22/2020","1","561","",""
"AX10783","ENX2061","A168","EMP1017","C1521","5/4/2020","1","913","",""
"AX10808","ENX2027","A146","EMP1011","C1442","4/2/2020","1","2497","",""
"AX10820","ENX2013","A135","EMP1034","C1406","4/25/2020","1","368","",""
"AX10826","ENX2065","A147","EMP1034","C1168","2/3/2020","1","2396","",""
"AX10880","ENX2068","A123","EMP1032","C1596","4/28/2020","1","1500","",""
"AX10920","ENX2077","A132","EMP1000","C1586","2/3/2020","1","530","",""
"AX10925","ENX2055","A151","EMP1012","C1185","4/22/2020","1","2495","",""
"AX10935","ENX2097","A134","EMP1022","C1304","1/17/2020","1","1052","",""
"AX10971","ENX2081","A131","EMP1033","C1026","5/20/2020","1","1566","",""
"AX11010","ENX2007","A162","EMP1016","C1567","4/6/2020","2","1405","",""
"AX11039","ENX2031","A145","EMP1031","C1483","1/25/2020","2","1638","",""
"AX11071","ENX2061","A172","EMP1017","C1714","1/12/2020","1","913","",""
