"Location ID","Name","County","State Code","State","Type","Latitude","Longitude","Area Code","Population","Households","Median Income","Land Area","Water Area","Time Zone"
"A100","Anaheim","Orange County","CA","California","City","33.83529","-117.9145","657","350742","99670","60752","129438076","2457142","America/Los Angeles"
"A101","Antioch","Contra Costa County","CA","California","City","38.00492","-121.80579","925","110542","33718","64329","76173197","1842711","America/Los Angeles"
"A102","Bakersfield","Kern County","CA","California","City","35.37329","-119.01871","661","373640","112439","57095","385366784","3809676","America/Los Angeles"
"A103","Berkeley","Alameda County","CA","California","City","37.87159","-122.27275","510","120972","45917","66237","27106077","18715614","America/Los Angeles"
"A104","Burbank","Los Angeles County","CA","California","City","34.18084","-118.30897","818","105319","41361","66076","44947219","94286","America/Los Angeles"
"A105","Carlsbad","San Diego County","CA","California","City","33.15809","-117.35059","760","113453","42791","90597","97713477","3595655","America/Los Angeles"
"A106","Chula Vista","San Diego County","CA","California","City","32.64","-117.08417","619","265757","78066","65185","128544440","6380135","America/Los Angeles"
"A107","Clovis","Fresno County","CA","California","City","36.82523","-119.70292","559","104180","34512","62666","62693928","0","America/Los Angeles"
"A108","Concord","Contra Costa County","CA","California","City","37.97798","-122.03107","925","128667","45409","68318","79108534","0","America/Los Angeles"
"A109","Corona","Riverside County","CA","California","City","33.87529","-117.56644","951","164226","48156","74149","102233537","211897","America/Los Angeles"
"A110","Costa Mesa","Orange County","CA","California","City","33.64113","-117.91867","949","113204","40908","66459","40723584","211253","America/Los Angeles"
"A111","Daly City","San Mateo County","CA","California","City","37.70583","-122.46194","650","106562","31137","74449","19788422","0","America/Los Angeles"
"A112","Downey","Los Angeles County","CA","California","City","33.94001","-118.13257","562","114219","32738","62897","32136795","414376","America/Los Angeles"
"A113","East Los Angeles","Los Angeles County","CA","California","CDP","34.0239","-118.17202","323","127610","31400","38766","19298247","11013","America/Los Angeles"
"A114","El Cajon","San Diego County","CA","California","City","32.79477","-116.96253","619","103679","32564","45925","37516310","0","America/Los Angeles"
"A115","Elk Grove","Sacramento County","CA","California","City","38.4088","-121.37162","916","166913","49316","79487","109287233","120267","America/Los Angeles"
"A116","El Monte","Los Angeles County","CA","California","City","34.06862","-118.02757","626","116732","30752","38085","24766390","221652","America/Los Angeles"
"A117","Escondido","San Diego County","CA","California","City","33.11921","-117.08642","760","151451","45041","50899","96015101","455887","America/Los Angeles"
